123,onyx-dot-app/onyx,https://github.com/onyx-dot-app/onyx,TBD,TBD,TBD
124,openai/openai-agents-python,https://github.com/openai/openai-agents-python,TBD,TBD,TBD
125,openai/parameter-golf,https://github.com/openai/parameter-golf,TBD,TBD,TBD
126,openai/skills,https://github.com/openai/skills,TBD,TBD,TBD
127,openclaw/clawhub,https://github.com/openclaw/clawhub,TBD,TBD,TBD
128,opendataloader-project/opendataloader-pdf,https://github.com/opendataloader-project/opendataloader-pdf,TBD,TBD,TBD
129,openrocket/openrocket,https://github.com/openrocket/openrocket,TBD,TBD,TBD
130,pascalorg/editor,https://github.com/pascalorg/editor,TBD,TBD,TBD
131,patchy631/ai-engineering-hub,https://github.com/patchy631/ai-engineering-hub,TBD,TBD,TBD
132,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,TBD,TBD,TBD
133,rancher/rancher,https://github.com/rancher/rancher,TBD,TBD,TBD
134,reconurge/flowsint,https://github.com/reconurge/flowsint,TBD,TBD,TBD
135,ruvnet/ruflo,https://github.com/ruvnet/ruflo,TBD,TBD,TBD
136,ruvnet/ruvector,https://github.com/ruvnet/ruvector,TBD,TBD,TBD
137,shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,TBD,TBD,TBD
138,shareAI-lab/learn-claude-code,https://github.com/shareAI-lab/learn-claude-code,TBD,TBD,TBD
139,sherlock-project/sherlock,https://github.com/sherlock-project/sherlock,TBD,TBD,TBD
140,shiyu-coder/Kronos,https://github.com/shiyu-coder/Kronos,TBD,TBD,TBD
141,sickn33/antigravity-awesome-skills,https://github.com/sickn33/antigravity-awesome-skills,TBD,TBD,TBD
142,steipete/wacli,https://github.com/steipete/wacli,TBD,TBD,TBD
143,systemd/systemd,https://github.com/systemd/systemd,TBD,TBD,TBD
144,tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,TBD,TBD,TBD
145,toeverything/AFFiNE,https://github.com/toeverything/AFFiNE,TBD,TBD,TBD
146,trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,TBD,TBD,TBD
147,tursodatabase/turso,https://github.com/tursodatabase/turso,TBD,TBD,TBD
148,usestrix/strix,https://github.com/usestrix/strix,TBD,TBD,TBD
149,vectorize-io/hindsight,https://github.com/vectorize-io/hindsight,TBD,TBD,TBD
150,vercel-labs/open-agents,https://github.com/vercel-labs/open-agents,TBD,TBD,TBD
151,wavetermdev/waveterm,https://github.com/wavetermdev/waveterm,TBD,TBD,TBD
152,xpzouying/xiaohongshu-mcp,https://github.com/xpzouying/xiaohongshu-mcp,TBD,TBD,TBD
153,z-lab/dflash,https://github.com/z-lab/dflash,TBD,TBD,TBD
